('<BOS>',)的频次-----86924
('“',)的频次-----16687
('人们',)的频次-----1272
('常',)的频次-----146
('说',)的频次-----5973
('生活',)的频次-----1424
('是',)的频次-----18068
('一',)的频次-----11503
('部',)的频次-----555
('教科书',)的频次-----33
('，',)的频次-----173174
('而',)的频次-----3930
('血',)的频次-----135
('与',)的频次-----7197
('火',)的频次-----106
('的',)的频次-----128147
('战争',)的频次-----155
('更',)的频次-----2519
('不可多得',)的频次-----7
('她',)的频次-----2224
('确实',)的频次-----129
('名副其实',)的频次-----19
('‘',)的频次-----209
('我',)的频次-----4665
('大学',)的频次-----350
('’',)的频次-----210
('。',)的频次-----81766
('心',)的频次-----361
('静',)的频次-----36
('渐',)的频次-----33
('知',)的频次-----276
('春',)的频次-----62
('似',)的频次-----120
('海',)的频次-----199
('花',)的频次-----524
('深',)的频次-----275
('每',)的频次-----896
('觉',)的频次-----27
('影',)的频次-----31
('生',)的频次-----270
('香',)的频次-----78
('吃',)的频次-----509
('屎',)的频次-----6
('东西',)的频次-----249
('连',)的频次-----413
('捆',)的频次-----29
('麦',)的频次-----65
('也',)的频次-----5801
('铡',)的频次-----14
('不',)的频次-----7222
('动',)的频次-----125
('呀',)的频次-----74
('？',)的频次-----1466
('他',)的频次-----7062
('严格要求',)的频次-----16
('自己',)的频次-----2317
('从',)的频次-----4675
('一个',)的频次-----4739
('科举',)的频次-----3
('出身',)的频次-----28
('进士',)的频次-----4
('成为',)的频次-----1589
('伟大',)的频次-----337
('民主主义',)的频次-----3
('者',)的频次-----1463
('进而',)的频次-----86
('位',)的频次-----1237
('杰出',)的频次-----79
('党外',)的频次-----17
('共产主义',)的频次-----49
('战士',)的频次-----165
('献身',)的频次-----26
('于',)的频次-----2894
('崇高',)的频次-----73
('事业',)的频次-----777
('征',)的频次-----50
('未',)的频次-----586
('用',)的频次-----1893
('耕地',)的频次-----120
('和',)的频次-----24398
('有',)的频次-----9905
('收益',)的频次-----77
('土地',)的频次-----477
('不准',)的频次-----80
('荒芜',)的频次-----11
('这',)的频次-----7199
('首先',)的频次-----516
('个',)的频次-----698
('民族',)的频次-----712
('问题',)的频次-----4276
('感情',)的频次-----149
('扔',)的频次-----43
('了',)的频次-----27103
('两颗',)的频次-----13
('手榴弹',)的频次-----3
('一下子',)的频次-----64
('出',)的频次-----3361
('溜',)的频次-----14
('下去',)的频次-----173
('废除',)的频次-----24
('先前',)的频次-----13
('存在',)的频次-----681
('所有制',)的频次-----61
('关系',)的频次-----2075
('并不是',)的频次-----82
('所',)的频次-----2039
('独具',)的频次-----14
('特征',)的频次-----119
('这个',)的频次-----1516
('案子',)的频次-----8
('始',)的频次-----64
('至今',)的频次-----277
('我们',)的频次-----4498
('都',)的频次-----3915
('没有',)的频次-----2363
('跟',)的频次-----174
('法官',)的频次-----79
('接触',)的频次-----153
('过',)的频次-----1597
('原告',)的频次-----49
('、',)的频次-----40696
('被告',)的频次-----62
('你',)的频次-----1108
('只有',)的频次-----803
('把',)的频次-----3426
('事情',)的频次-----259
('做好',)的频次-----384
('大伙',)的频次-----16
('才',)的频次-----1213
('服',)的频次-----45
('那阵子',)的频次-----1
('条件',)的频次-----912
('虽',)的频次-----269
('艰苦',)的频次-----174
('可',)的频次-----1559
('大家',)的频次-----388
('热情',)的频次-----277
('高着',)的频次-----2
('呢',)的频次-----362
('什么',)的频次-----690
('活',)的频次-----206
('抢',)的频次-----90
('着',)的频次-----3610
('干',)的频次-----505
('谁',)的频次-----469
('争',)的频次-----130
('多',)的频次-----2876
('作',)的频次-----1598
('贡献',)的频次-----584
('哎呀',)的频次-----2
('怎么',)的频次-----195
('来',)的频次-----3469
('告诉',)的频次-----342
('声',)的频次-----285
('种菜',)的频次-----25
('烦恼',)的频次-----22
('那',)的频次-----1103
('累',)的频次-----65
('时候',)的频次-----395
('；',)的频次-----5236
('另外',)的频次-----244
('大',)的频次-----4265
('棚',)的频次-----83
('菜',)的频次-----214
('在',)的频次-----28445
('降价',)的频次-----24
('种田',)的频次-----30
('要',)的频次-----5660
('明白',)的频次-----117
('账',)的频次-----67
('投',)的频次-----135
('本',)的频次-----1130
('赚',)的频次-----70
('利润',)的频次-----171
('起码',)的频次-----21
('道理',)的频次-----103
('成长',)的频次-----178
('岁月',)的频次-----78
('传统',)的频次-----779
('激进',)的频次-----6
('前卫',)的频次-----6
('曾',)的频次-----846
('经历',)的频次-----253
('为什么',)的频次-----167
('火车',)的频次-----43
('上',)的频次-----8408
('话',)的频次-----478
('敢',)的频次-----63
('讲',)的频次-----599
('到',)的频次-----6316
('单位',)的频次-----1090
('就',)的频次-----6485
('出声',)的频次-----6
('虽然',)的频次-----564
('一路上',)的频次-----5
('队伍',)的频次-----592
('里',)的频次-----1807
('肃静',)的频次-----1
('无声',)的频次-----17
('但',)的频次-----3375
('不要',)的频次-----235
('失望',)的频次-----45
('让',)的频次-----1417
('共同',)的频次-----964
('迎战',)的频次-----53
('艾滋病',)的频次-----115
('！',)的频次-----955
('现代化',)的频次-----548
('战舰',)的频次-----8
('技术',)的频次-----1770
('简单',)的频次-----181
('岗位',)的频次-----326
('当时',)的频次-----417
('很',)的频次-----2040
('伤心',)的频次-----11
('认为',)的频次-----1677
('辈子',)的频次-----7
('算',)的频次-----180
('完了',)的频次-----9
('孩子',)的频次-----925
('天资',)的频次-----4
('还',)的频次-----3661
('不错',)的频次-----84
('学习',)的频次-----1804
('成绩',)的频次-----526
('一般',)的频次-----373
('小动作',)的频次-----4
('较多',)的频次-----81
('老师',)的频次-----179
('不是',)的频次-----869
('特别',)的频次-----386
('喜欢',)的频次-----154
('反感',)的频次-----9
('鲨鱼',)的频次-----14
('软骨',)的频次-----13
('素',)的频次-----50
('—',)的频次-----4416
('人类',)的频次-----530
('抗癌',)的频次-----22
('防癌',)的频次-----16
('治',)的频次-----330
('癌',)的频次-----41
('新',)的频次-----3707
('希望',)的频次-----958
('关于',)的频次-----765
('教育',)的频次-----1969
('面向',)的频次-----285
('世界',)的频次-----2464
('未来',)的频次-----406
('”',)的频次-----16869
('实现',)的频次-----1232
('关键',)的频次-----466
('科学技术',)的频次-----164
('能',)的频次-----2393
('上去',)的频次-----45
('偶尔',)的频次-----19
('老乡',)的频次-----27
('拥',)的频次-----24
('上来',)的频次-----50
('想',)的频次-----853
('看',)的频次-----1325
('大官',)的频次-----5
('立即',)的频次-----313
('会',)的频次-----2294
('遭到',)的频次-----140
('闪开',)的频次-----1
('往常',)的频次-----8
('排队',)的频次-----23
('又',)的频次-----2820
('急',)的频次-----110
('输',)的频次-----139
('密码',)的频次-----9
('点',)的频次-----652
('钞票',)的频次-----25
('不愿',)的频次-----86
('旁人',)的频次-----3
('看见',)的频次-----68
('目前',)的频次-----1806
('我国',)的频次-----2139
('残疾人',)的频次-----141
('分布',)的频次-----99
('石山',)的频次-----5
('区',)的频次-----737
('荒漠',)的频次-----104
('黄土高原',)的频次-----7
('地方病',)的频次-----2
('高',)的频次-----1507
('发',)的频次-----288
('比较',)的频次-----464
('分散',)的频次-----74
('奶奶',)的频次-----30
('您',)的频次-----116
('现在',)的频次-----1107
('搬',)的频次-----83
('行动',)的频次-----677
('方便',)的频次-----180
('吗',)的频次-----195
('这么',)的频次-----169
('打击',)的频次-----356
('之后',)的频次-----556
('总',)的频次-----713
('身体',)的频次-----145
('某个',)的频次-----33
('地方',)的频次-----856
('留下',)的频次-----233
('痕迹',)的频次-----28
('被',)的频次-----3003
('确诊',)的频次-----5
('为',)的频次-----9516
('淋巴',)的频次-----4
('肉瘤',)的频次-----9
('后',)的频次-----3458
('感觉',)的频次-----142
('眼前',)的频次-----96
('黑',)的频次-----150
('家乡',)的频次-----168
('比赛',)的频次-----1410
('那么',)的频次-----376
('观众',)的频次-----312
('助威',)的频次-----9
('紧张',)的频次-----249
('极',)的频次-----271
('脑子',)的频次-----20
('乱',)的频次-----192
('生怕',)的频次-----10
('对不起',)的频次-----19
('人',)的频次-----6338
('做出',)的频次-----268
('一点',)的频次-----253
('事',)的频次-----698
('必须',)的频次-----1137
('牺牲',)的频次-----75
('有所',)的频次-----233
('得',)的频次-----1851
('必',)的频次-----121
('失',)的频次-----90
('这是',)的频次-----1333
('平衡',)的频次-----95
('最近',)的频次-----576
('厂',)的频次-----503
('准备',)的频次-----479
('上马',)的频次-----12
('项目',)的频次-----1080
('再',)的频次-----1083
('吸收',)的频次-----136
('一批',)的频次-----422
('下岗',)的频次-----1595
('职工',)的频次-----1827
('不少',)的频次-----567
('少',)的频次-----422
('一个样',)的频次-----8
('影响',)的频次-----1411
('干部',)的频次-----1557
('工作',)的频次-----4445
('积极性',)的频次-----139
('奋发',)的频次-----12
('进取',)的频次-----81
('重要',)的频次-----2216
('原因',)的频次-----606
('当前',)的频次-----493
('改革',)的频次-----1625
('发展',)的频次-----5976
('稳定',)的频次-----1158
('面临',)的频次-----446
('紧迫',)的频次-----46
('任务',)的频次-----711
('寂寞',)的频次-----36
('老人',)的频次-----343
('寒冷',)的频次-----17
('一种',)的频次-----1198
('风险',)的频次-----356
